latitude,longitude,name,addr:full,addr:subdistrict,addr:street,addr:place,addr:block,addr:district,addr:state,addr:postcode,contact:mobile,healthcare,source
17.4870339,78.39292288,"SubCentre, KPHB Colony (Urban)","LIG - 134/1, KPHB Colony, Balanagar ",Balanagar ,"III PHASE , Balanagar",,,Ranga Reddy,Telangana,500003,,centre,OpenGovernmentData
17.5053976,78.4083949,"SubCentre, VV Nagar (Urban)","Community Hall, Yellamma Banda, Balanagar ",Balanagar ,,,,Ranga Reddy,Telangana,500003,,centre,OpenGovernmentData
17.2665639,78.4683466,"SubCentre, Pahadi Shareef ","Govt. Building, Beside ZPHS, Near Grama Panchayath, Saroornagar ",Saroornagar ,,Pahadi Shareef ,,Ranga Reddy,Telangana,500005,,centre,OpenGovernmentData
17.30897469,78.49416018,"SubCentre, Kothapet","Gram Panchayath Building, Saroornagar ",Saroornagar ,"Salala Road, Kothapet",,,Ranga Reddy,Telangana,500005,,centre,OpenGovernmentData
17.31059307,78.49908471,"SubCentre, Balapur","Govt. Building, Saroornagar ",Saroornagar ,Balapur,,,Ranga Reddy,Telangana,500005,,centre,OpenGovernmentData
17.4733907,78.4872136,"SubCentre, Hasmathpet (Urban)","9-3-25/6A, Hasmathpet, Balanagar ",Balanagar ,Harjan Basthi,,,Ranga Reddy,Telangana,500009,,centre,OpenGovernmentData
17.51801167,78.44496042,"SubCentre, Malikarjun Nagar (Urban)","Old Bowenpally, Balanagar ",Balanagar ,Community Hall,,,Ranga Reddy,Telangana,500009,,centre,OpenGovernmentData
17.37450265,78.56204286,"SubCentre, Nagole (Urban)","632, Near Govt. School, Uppal ",Uppal ,,Bandlaguda,,Ranga Reddy,Telangana,500013,,centre,OpenGovernmentData
17.39307071,78.53511214,"SubCentre, Ramanthapur-B (Urban)","3-10-29/1, Near E-Seva, Beside Monday Market, Uppal ",Uppal ,RTC Colony,,,Ranga Reddy,Telangana,500013,,centre,OpenGovernmentData
17.39835358,78.53922129,"SubCentre, Ramanthapur-A (Urban)","Ramanthapur Janda, Uppal ",Uppal ,,Indira Nagar,,Ranga Reddy,Telangana,500013,,centre,OpenGovernmentData
17.40567359,78.54384005,"SubCentre, Habsiguda (Urban)","Near ISI Campus Bus Stop, G.G. Colony, Uppal ",Uppal ,"Street No. 8, Habsiguda",,,Ranga Reddy,Telangana,500013,,centre,OpenGovernmentData
17.45939757,78.44930023,"SubCentre, Fatehnagar (Urban)","Near Fathenagar Ward Office, Balanagar ",Balanagar ,,,,Ranga Reddy,Telangana,500018,,centre,OpenGovernmentData
17.46814279,78.4243302,"SubCentre, Moosapet (Urban)","Community Hall, Moosapet, Balanagar ",Balanagar ,,,,Ranga Reddy,Telangana,500018,,centre,OpenGovernmentData
17.46895128,78.42083126,"SubCentre, Muskipet (Urban)","Muskipet Ward Office, Balanagar ",Balanagar ,,,,Ranga Reddy,Telangana,500018,,centre,OpenGovernmentData
17.39835358,78.56634915,"SubCentre, Laxminagar (Urban)","Near Uppalamma Temple, Community Hall, Vijayapuri, Uppal ",Uppal ,,,,Ranga Reddy,Telangana,500020,,centre,OpenGovernmentData
17.3184713,78.4519262,"SubCentre, Mailardevpally","Opp. Sri Krishna Hotel, Rajendranagar ",Rajendranagar ,,Mailardevpally,,Ranga Reddy,Telangana,500030,,centre,OpenGovernmentData
17.31919689,78.39346468,"SubCentre, Budwel","Near Hanuman Temple , Rajendranagar ",Rajendranagar ,,Budwel,,Ranga Reddy,Telangana,500030,,centre,OpenGovernmentData
17.31987033,78.40275452,"SubCentre, Rajendranagar","Beside E-Seva, Rajendranagar ",Rajendranagar ,Baddera Basthi,,,Ranga Reddy,Telangana,500030,,centre,OpenGovernmentData
17.3365515,78.3839857,"SubCentre, Kismatpur","Pochamma Temple, Rajendranagar ",Rajendranagar ,"BC Colony, Kismatpur",,,Ranga Reddy,Telangana,500030,,centre,OpenGovernmentData
17.336686,78.4304294,"SubCentre, Indira Nagar","Near TRS Office, Rajendranagar ",Rajendranagar ,Indra Nagar,,,Ranga Reddy,Telangana,500030,,centre,OpenGovernmentData
17.3373164,78.4443317,"SubCentre, Hasan Nagar","Opp. Badanal, Rajendranagar ",Rajendranagar ,,Hassan Nagar,,Ranga Reddy,Telangana,500030,,centre,OpenGovernmentData
17.35189797,78.42732355,"SubCentre, M.M.Pahadi","Near Bus Stop, Rajendranagar ",Rajendranagar ,"4th Ward, M.M Pahadi",,,Ranga Reddy,Telangana,500030,,centre,OpenGovernmentData
17.35229735,78.3858794,"SubCentre, Bandalguda","Old Grama Panchayath, Rajendranagar ",Rajendranagar ,,Bandlaguda,,Ranga Reddy,Telangana,500030,,centre,OpenGovernmentData
17.3630425,78.3895553,"SubCentre, Hydershakote","Post Office Building, Rajendranagar ",Rajendranagar ,"SC Basthi, Hydershakote",,,Ranga Reddy,Telangana,500030,,centre,OpenGovernmentData
17.36951092,78.4358865,"SubCentre, Attapur","Near Ward Office, Behind Ration Shop, Rajendranagar ",Rajendranagar ,,Attapur,,Ranga Reddy,Telangana,500030,,centre,OpenGovernmentData
17.37373982,78.35163295,"SubCentre, Manchirevula","Near Grama Panchayath, Rajendranagar ",Chevella ,,Manchirevula,,Ranga Reddy,Telangana,500030,,centre,OpenGovernmentData
17.38715801,78.35496157,"SubCentre, Narsingi","Near Police Station, Rajendranagar ",Rajendranagar ,,Narsingi,,Ranga Reddy,Telangana,500030,,centre,OpenGovernmentData
17.4000608,78.301078,"SubCentre, Khanapur","Water Pump, Rajendranagar ",Rajendranagar ,,Khanpur,,Ranga Reddy,Telangana,500030,,centre,OpenGovernmentData
17.40367726,78.37574601,"SubCentre, Manikonda","Near Grama Panchayath , Rajendranagar ",Rajendranagar ,,Manikonda,,Ranga Reddy,Telangana,500030,,centre,OpenGovernmentData
17.33187655,78.5361743,"SubCentre, Bhupeshgupta Nagar","Govt. School Building, Near Electricity Junction, Saroornagar ",Saroornagar ,,Nandanavanam,,Ranga Reddy,Telangana,500035,,centre,OpenGovernmentData
17.3387998,78.534782,"SubCentre, Karmanghat","Govt. Building, Near Ward Office, Saroornagar ",Saroornagar ,,Karmanghat,,Ranga Reddy,Telangana,500035,,centre,OpenGovernmentData
17.34519027,78.52016687,"SubCentre, Champapet","Govt. Building, Near Govt. School, Saroornagar ",Saroornagar ,,Champapet,,Ranga Reddy,Telangana,500035,,centre,OpenGovernmentData
17.34892562,78.54777351,"SubCentre, L. B. Nagar","Govt. Building, Ward Office, Behind Bus Stop, Saroornagar ",Saroornagar ,,L.B Nagar,,Ranga Reddy,Telangana,500035,,centre,OpenGovernmentData
