latitude,longitude,name,addr:full,addr:subdistrict,addr:street,addr:place,addr:block,addr:district,addr:state,addr:postcode,contact:mobile,healthcare,source
17.32253589,78.52842808,"SubCentre, Meerpet","Govt. Building, Near Govt. School, Saroornagar ",Saroornagar ,"Sirla Hills, Meerpet",,,Ranga Reddy,Telangana,500097,,centre,OpenGovernmentData
17.33179462,78.5291791,"SubCentre, Jillelaguda","Govt. Building, Beside Pochamma Temple, Saroornagar ",Saroornagar ,"Dasari Narayan Rao Kala Nagar, Jillelaguda",,,Ranga Reddy,Telangana,500097,,centre,OpenGovernmentData
17.67094526,78.59393567,"SubCentre, Thurkapally","Behind Bus Stand, Shamirpet ",Shamirpet ,,Turkapally,,Ranga Reddy,Telangana,500101,,centre,OpenGovernmentData
17.59371612,78.57021086,"SubCentre, Shamirpet","Beside PHC , Shamirpet ",Shamirpet ,,,,Ranga Reddy,Telangana,500101,,centre,OpenGovernmentData
17.61621536,78.67705196,"SubCentre, Uddemarri","Near Library , Shameerpet ",Shamirpet ,"Ushasharpally Road, Uddemarri",,,Ranga Reddy,Telangana,500101,,centre,OpenGovernmentData
17.62382313,78.59635703,"SubCentre, Aliabad","Near Grama Panchayath Office, Shamirpet ",Shamirpet ,"Grama Panchayath Office veedhi, Aliabad",,,Ranga Reddy,Telangana,500101,,centre,OpenGovernmentData
17.62431394,78.62526588,"SubCentre, Jaganguda","Community Hall, Shamirpet ",Shamirpet ,"Grama Panchayath Office veedhi, Jaganguda",,,Ranga Reddy,Telangana,500101,,centre,OpenGovernmentData
17.63321991,78.6528638,"SubCentre, Keshavapur","Near Primary School, Shamirpet ",Shamirpet ,"Bus Stand Main Road, keshavapur",,,Ranga Reddy,Telangana,500101,,centre,OpenGovernmentData
17.63686499,78.65574986,"SubCentre, Keshavaram","Opp. ZPHS, Shamirpet ",Shamirpet ,"Grama Panchayath Office Road, Keshavaram",,,Ranga Reddy,Telangana,500101,,centre,OpenGovernmentData
17.65673017,78.59950125,"SubCentre, Lalgadi Malakpet","Opp. Grama Panchayath Office, Shamirpet ",Shamirpet ,"Main Road, Lalgadi Malakpet",,,Ranga Reddy,Telangana,500101,,centre,OpenGovernmentData
17.66321681,78.70178059,"SubCentre, Laxmapur","Near Bus Stand & Govt. School, Laxmapur, Shamirpet ",Shamirpet ,Main Road,,,Ranga Reddy,Telangana,500101,,centre,OpenGovernmentData
17.25425884,77.86230013,"SubCentre, Gottimukkala","Opp. Hanuman Temple, Vikarabad",Vicarabad ,,Gottimukkala,,Ranga Reddy,Telangana,501101,,centre,OpenGovernmentData
17.2672131,77.9581602,"SubCentre, Pudur","Beside Grama Panchayath, Pudur ",Pudur ,BC Colony,,,Ranga Reddy,Telangana,501101,,centre,OpenGovernmentData
17.27668601,77.89712459,"SubCentre, Madgula Chittempally","2-7 1/2, Opp. Kirana Shop, Hanuman Temple, Vikarabad",Vicarabad ,BC Colony,,,Ranga Reddy,Telangana,501101,,centre,OpenGovernmentData
17.32803587,77.92796195,"SubCentre, Shivareddy Pet","Opp. Municipal Office, Vikarabad",Vicarabad ,Shivareddy Pet,,,Ranga Reddy,Telangana,501101,,centre,OpenGovernmentData
17.33529724,77.90746987,"SubCentre, Vikarabad","Opp. Petrol Pump, Near Bus Stand Road, Vikarabad",Vicarabad ,,,,Ranga Reddy,Telangana,501101,9704039428,centre,OpenGovernmentData
17.3381871,77.8946038,"SubCentre, Ramaiahguda","Opp. Primary School, Ramaiahguda Main Road, Vikarabad",Vicarabad ,BC Colony,,,Ranga Reddy,Telangana,501101,,centre,OpenGovernmentData
17.34076613,77.93607831,"SubCentre, Dhannaram","Opp. Dwakra Building, Pochamma Temple Road, Vikarabad",Vicarabad ,BC Colony,,,Ranga Reddy,Telangana,501101,,centre,OpenGovernmentData
17.35161124,77.90521413,"SubCentre, Alampally","Near Anantha Swamy Temple, Vikarabad",Vicarabad ,4th Ward,,,Ranga Reddy,Telangana,501101,,centre,OpenGovernmentData
17.35768381,78.00240397,"SubCentre, Siddaloor","4-100, Opp. Grama Panchayath, Vikarabad",Vicarabad ,BC Colony,,,Ranga Reddy,Telangana,501101,,centre,OpenGovernmentData
17.37222,77.9046,"SubCentre, Kothagadi","Opp. Veeraiah Kirana & General Store, Near Veterinary Hospital, Vikarabad",Vicarabad ,OC Colony,,,Ranga Reddy,Telangana,501101,,centre,OpenGovernmentData
17.38918012,77.86487639,"SubCentre, Madanpally","Near Madiga, UPS School Road, Vikarabad",Vicarabad ,"BC Colony, Madanpally",,,Ranga Reddy,Telangana,501101,,centre,OpenGovernmentData
17.39227212,77.80966312,"SubCentre, Mailardevpally - Vikarabad","School Road, Mailardevpally, Vikarabad",Vicarabad ,BC Colony,,,Ranga Reddy,Telangana,501101,,centre,OpenGovernmentData
17.432079,77.877662,"SubCentre, Pulmaddi","Opp. Kirana Shop, Near Gandhi Statue, Vikarabad",Vicarabad ,BC Colony,,,Ranga Reddy,Telangana,501101,,centre,OpenGovernmentData
78.06500137,77.90923342,"SubCentre, Gangaram","Opp. Masjid, Gangaram, Vikarabad",Vicarabad ,Upper Primary School Gangaram,,,Ranga Reddy,Telangana,501101,,centre,OpenGovernmentData
17.40472661,77.76040703,"SubCentre, Rampur","1-126, Beside Old Anganwadi , Bantwaram ",Bantwaram ,"Muslim Area, Rampur",,,Ranga Reddy,Telangana,501106,,centre,OpenGovernmentData
17.40963549,77.6845488,"SubCentre, Rompally","Grama Panchayath, Bantwaram ",Bantwaram ,"BC Colony, Rompally",,,Ranga Reddy,Telangana,501106,,centre,OpenGovernmentData
17.42817439,77.75503457,"SubCentre, Ennaram","Near Anganwadi Centre, Bantwaram ",Bantwaram ,"SC Wada, Ennaram",,,Ranga Reddy,Telangana,501106,9959047522,centre,OpenGovernmentData
17.43830293,77.8074798,"SubCentre, Mothukupally","Behind Primary School, Bantwaram ",Bantwaram ,"SC Colony, Mothukupally",,,Ranga Reddy,Telangana,501106,,centre,OpenGovernmentData
