latitude,longitude,name,addr:full,addr:subdistrict,addr:street,addr:place,addr:block,addr:district,addr:state,addr:postcode,contact:mobile,healthcare,source
17.1871455,78.43802959,"SubCentre, Harshaguda","Opp. School , Maheswaram ",Maheswaram ,,Harshaguda,,Ranga Reddy,Telangana,501359,,centre,OpenGovernmentData
17.21625246,78.51342,"SubCentre, Ravirala","Main Road, Maheswaram ",Maheswaram ,,Raviryal,,Ranga Reddy,Telangana,501359,,centre,OpenGovernmentData
17.20813577,78.47638249,"SubCentre, Thukkuguda","Near Grama Panchayath Office, Maheswaram ",Maheswaram ,,Thukkuguda,,Ranga Reddy,Telangana,501359,,centre,OpenGovernmentData
17.5649532,78.4935686,"SubCentre, Gundlapochampally","Upper Primary School Road, Medchal ",Medchal ,,,,Ranga Reddy,Telangana,501401,,centre,OpenGovernmentData
17.61025367,78.46959785,"SubCentre, Gowdavally","Grama Panchayath Office, Medchal ",Medchal ,BC Colony,,,Ranga Reddy,Telangana,501401,,centre,OpenGovernmentData
17.61995282,78.52740146,"SubCentre, Pudur - Medchal","Near Pochamma Temple, Medchal ",Medchal ,Kumari Basthi Road,,,Ranga Reddy,Telangana,501401,,centre,OpenGovernmentData
17.63085926,78.48621614,"SubCentre, Medchal - I","Old Grama Panchayath Office, Near MRO Office, Medchal ",Medchal ,Katika Basthi,,,Ranga Reddy,Telangana,501401,,centre,OpenGovernmentData
17.63276491,78.48283589,"SubCentre, Medchal -II","L.I.G - 144, Housing Board Colony, Near Market Old Hospital, Medchal ",Medchal ,,,,Ranga Reddy,Telangana,501401,,centre,OpenGovernmentData
17.65590208,78.42529714,"SubCentre, Srirangavaram","Near Primary School, Medchal ",Medchal ,SC Colony,,,Ranga Reddy,Telangana,501401,,centre,OpenGovernmentData
17.65859594,78.52559835,"SubCentre, Ravalkole","Grama Panchayath Office, Medchal ",Medchal ,Muslim Bhasthi,,,Ranga Reddy,Telangana,501401,,centre,OpenGovernmentData
17.6691103,78.47072572,"SubCentre, Dabilpur","Near Primary School, Dabilpur, Medchal ",Medchal ,BC Colony,,,Ranga Reddy,Telangana,501401,,centre,OpenGovernmentData
17.68337296,78.44340339,"SubCentre, Nuthankal","Grama Panchayath Office, Nuthankal, Medchal ",Medchal ,BC Colony,,,Ranga Reddy,Telangana,501401,,centre,OpenGovernmentData
17.22718688,77.87278354,"SubCentre, Naskal","2-67/1, Near Old Grama Panchayath, Pargi ",Pargi ,,Naskal,,Ranga Reddy,Telangana,501501,,centre,OpenGovernmentData
17.12516523,77.96521783,"SubCentre, Chityal","Behind PHC, Pargi ",Pargi ,"BC Wada, Chityal",,,Ranga Reddy,Telangana,501501,,centre,OpenGovernmentData
17.13695087,77.95264632,"SubCentre, Rapole","Near Grama Panchayath, Pargi ",Pargi ,"BC Wada, Rapole",,,Ranga Reddy,Telangana,501501,,centre,OpenGovernmentData
17.157532,77.7902626,"SubCentre, Gadisingapur","Near Gram Pachayath, High School, Pargi ",Pargi ,Hanuman Temple Lane,,,Ranga Reddy,Telangana,501501,,centre,OpenGovernmentData
